CookerStat, GenerateAssetRegistry=0.036936, Initialize=0.177369, RunGuid=RunID6B65FA434F1463BCFC5744AC2445CF0B
DDCTransactionId248AE5E74DA5E0AD9EDC32984B6F8B97_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_734442AA47F04E7567E99E8C8842D__1F0FFBDB9C1880D17DFA3B89D52B0B9FA3CC732E, StartTime=2016.05.10-21.31.27, HierarchicalDDC=, DataSize=4194569, Duration=18.582304, RunGuid=RunID6B65FA434F1463BCFC5744AC2445CF0B
DDCTransactionIdEF74514A494A7C6FB5D3E8B2D3316AE7_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_734442AA47F04E7567E99E8C8842D__D0C6369B5C16EAD2C40EB163636FF6C434EF0839, StartTime=2016.05.10-21.31.27, HierarchicalDDC=, DataSize=1048841, Duration=9.407628, RunGuid=RunID6B65FA434F1463BCFC5744AC2445CF0B
DDCTransactionId8C21994640F8A947FE1BD1BDF253C113_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_734442AA47F04E7567E99E8C8842D__766152655175F27ED4530AD61D79B2B49D594881, StartTime=2016.05.10-21.31.27, HierarchicalDDC=, DataSize=262407, Duration=9.135541, RunGuid=RunID6B65FA434F1463BCFC5744AC2445CF0B
DDCTransactionId6F59D6F04B77A50556AE838B27C2ECE3_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_734442AA47F04E7567E99E8C8842D__FA71B785E214E27003C667B3BCC5FA555A763AE4, StartTime=2016.05.10-21.31.27, HierarchicalDDC=, DataSize=65799, Duration=8.106421, RunGuid=RunID6B65FA434F1463BCFC5744AC2445CF0B
DDCTransactionIdB4D2A7C84BD1949D5B4A36936D23D431_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_734442AA47F04E7567E99E8C8842D__1D2D5D4EB3D0CE3DC1DF578D3DB1FC6724D70179, StartTime=2016.05.10-21.31.27, HierarchicalDDC=, DataSize=16647, Duration=5.023815, RunGuid=RunID6B65FA434F1463BCFC5744AC2445CF0B
DDCTransactionIdB4D2A7C84BD1949D5B4A36936D23D431_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_734442AA47F04E7567E99E8C8842D__F16F425DE9EEFB862C0EDEADF6D3F14EFBBF919F, StartTime=2016.05.10-21.31.27, HierarchicalDDC=, DataSize=7493, Duration=5.291518, RunGuid=RunID6B65FA434F1463BCFC5744AC2445CF0B
DDCTransactionIdEBE0B73445D5075D62489F90C178084B_3, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7941476D473C1903242FE19D8714669E_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000300000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.10-21.31.28, Duration=3007.545166, RunGuid=RunID6B65FA434F1463BCFC5744AC2445CF0B
DDCTransactionIdEF74514A494A7C6FB5D3E8B2D3316AE7_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7941476D473C1903242FE19D87146__BF97E7003E7F8666E1E61640250222C0203250C7, StartTime=2016.05.10-21.31.31, HierarchicalDDC=, DataSize=2097417, Duration=12.889959, RunGuid=RunID6B65FA434F1463BCFC5744AC2445CF0B
DDCTransactionId6F59D6F04B77A50556AE838B27C2ECE3_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7941476D473C1903242FE19D87146__4BD159D6FC17FFE270C980397C04C1C4F313AAE4, StartTime=2016.05.10-21.31.31, HierarchicalDDC=, DataSize=524553, Duration=6.952591, RunGuid=RunID6B65FA434F1463BCFC5744AC2445CF0B
DDCTransactionId8C21994640F8A947FE1BD1BDF253C113_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7941476D473C1903242FE19D87146__4A3BD62AA6CC40CCE20E63BC0A99513CD31B5321, StartTime=2016.05.10-21.31.31, HierarchicalDDC=, DataSize=131335, Duration=9.578053, RunGuid=RunID6B65FA434F1463BCFC5744AC2445CF0B
