CookerStat, GenerateAssetRegistry=0.082429, Initialize=0.211712, RunGuid=RunID7EA571ED425E7A6605129F8E46A7DF2E
SavePackageTransactionId8E96C4B94AFF3150E14C91939006B88A_4, Filename=../../../../../../Users/Matt/Documents/Unreal Projects/Otherworld/Content/UserInterface/Images/circle.uasset, AutoPackageBackupDelegate=0.182014, FlushAsyncLoading=0.003070, FlushStreamingFunc=0.050433, BlockTillAllRequestsFinished=0.007935, ResetLoadersForSaveUnMarkAllObjects=0.166401, TagPackageExports=0.070143, BeginCacheForCookedPlatformData=0.001281, SerializeImports=0.660729, GatherLocalizableTextData=0.081662, MarkNames=0.006400, SerializeSummary=0.014082, SerializeNames=0.027645, SerializeGatherableTextData=0.002049, BuildExportMap=0.013314, SortExportsNonSeekfree=0.006653, SortExportsSeekfreeConstructor=0.009984, SortExportsSeekfreeInner=0.144638, SortExportsSeekfree=0.002563, BuildDependencyMap=0.004862, SerializeImportMap=0.007935, SerializeExportMap=0.006400, SerializeDependencyMap=0.001281, SerializeStringAssetReferenceMap=0.002045, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.172837, SerializeExports=0.157185, SerializeBulkData=0.053760, MoveFile=1.486067, UnaccountedTime=1.488369, RunGuid=RunID7EA571ED425E7A6605129F8E46A7DF2E
SavePackageTransactionId8E96C4B94AFF3150E14C91939006B88A_5, Filename=../../../../../../Users/Matt/Documents/Unreal Projects/Otherworld/Content/UserInterface/Images/Icons/HealingPotion.uasset, AutoPackageBackupDelegate=0.151295, FlushAsyncLoading=0.003327, FlushStreamingFunc=0.054531, BlockTillAllRequestsFinished=0.004862, ResetLoadersForSaveUnMarkAllObjects=0.159744, TagPackageExports=0.020735, BeginCacheForCookedPlatformData=0.001024, SerializeImports=0.603132, GatherLocalizableTextData=0.057854, MarkNames=0.003587, SerializeSummary=0.010751, SerializeNames=0.023808, SerializeGatherableTextData=0.001021, BuildExportMap=0.009988, SortExportsNonSeekfree=0.004862, SortExportsSeekfreeConstructor=0.008449, SortExportsSeekfreeInner=0.136446, SortExportsSeekfree=0.001792, BuildDependencyMap=0.004865, SerializeImportMap=0.007682, SerializeExportMap=0.006400, SerializeDependencyMap=0.001278, SerializeStringAssetReferenceMap=0.002306, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.748280, SerializeExports=0.165630, SerializeBulkData=0.052478, MoveFile=1.355764, UnaccountedTime=1.505524, RunGuid=RunID7EA571ED425E7A6605129F8E46A7DF2E
SavePackageTransactionId8E96C4B94AFF3150E14C91939006B88A_6, Filename=../../../../../../Users/Matt/Documents/Unreal Projects/Otherworld/Content/UserInterface/Widgets/QuickSlotFrame.uasset, AutoPackageBackupDelegate=2.620395, FlushAsyncLoading=0.007425, FlushStreamingFunc=0.066813, BlockTillAllRequestsFinished=0.005122, ResetLoadersForSaveUnMarkAllObjects=0.194300, TagPackageExports=1.121271, BeginCacheForCookedPlatformData=0.004351, SerializeImports=1.546737, GatherLocalizableTextData=33.676762, MarkNames=0.041217, SerializeSummary=0.014082, SerializeNames=0.107262, SerializeGatherableTextData=0.278525, BuildExportMap=0.085760, SortExportsNonSeekfree=0.078078, SortExportsSeekfreeConstructor=0.009473, SortExportsSeekfreeInner=2.959076, SortExportsSeekfree=0.003330, BuildDependencyMap=0.019968, SerializeImportMap=0.011008, SerializeExportMap=0.014335, SerializeDependencyMap=0.002302, SerializeStringAssetReferenceMap=0.001281, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.223231, SerializeExports=1.763824, SerializeBulkData=0.003841, MoveFile=2.002925, UnaccountedTime=1.670387, RunGuid=RunID7EA571ED425E7A6605129F8E46A7DF2E
SavePackageTransactionId8E96C4B94AFF3150E14C91939006B88A_7, Filename=../../../../../../Users/Matt/Documents/Unreal Projects/Otherworld/Content/UserInterface/Widgets/HeadsUpDisplay.uasset, AutoPackageBackupDelegate=2.521064, FlushAsyncLoading=0.003841, FlushStreamingFunc=0.067327, BlockTillAllRequestsFinished=0.003584, ResetLoadersForSaveUnMarkAllObjects=0.157952, TagPackageExports=0.943862, BeginCacheForCookedPlatformData=0.001535, SerializeImports=1.380596, GatherLocalizableTextData=200.874023, MarkNames=1.077753, SerializeSummary=0.021249, SerializeNames=0.127230, SerializeGatherableTextData=1.350388, BuildExportMap=0.114430, SortExportsNonSeekfree=0.112128, SortExportsSeekfreeConstructor=0.067841, SortExportsSeekfreeInner=2.418153, SortExportsSeekfree=0.003073, BuildDependencyMap=0.024319, SerializeImportMap=0.013057, SerializeExportMap=0.017662, SerializeDependencyMap=0.003073, SerializeStringAssetReferenceMap=0.002045, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.296447, SerializeExports=1.850095, SerializeBulkData=0.004608, MoveFile=2.706155, UnaccountedTime=1.572847, RunGuid=RunID7EA571ED425E7A6605129F8E46A7DF2E
SavePackageTransactionId8E96C4B94AFF3150E14C91939006B88A_8, Filename=../../../../../../Users/Matt/Documents/Unreal Projects/Otherworld/Content/ThirdPersonBP/Maps/ThirdPersonExampleMap.umap, AutoPackageBackupDelegate=26.763029, FlushAsyncLoading=0.014592, FlushStreamingFunc=0.077568, BlockTillAllRequestsFinished=0.010494, ResetLoadersForSaveUnMarkAllObjects=175.319305, TagPackageExports=1.473010, BeginCacheForCookedPlatformData=0.001539, SerializeImports=2.392042, GatherLocalizableTextData=11.159967, MarkNames=0.072446, SerializeSummary=0.016641, SerializeNames=0.481531, SerializeGatherableTextData=0.044543, BuildExportMap=0.353020, SortExportsNonSeekfree=0.569597, SortExportsSeekfreeConstructor=0.058368, SortExportsSeekfreeInner=31.047922, SortExportsSeekfree=0.006143, BuildDependencyMap=0.111103, SerializeImportMap=0.053246, SerializeExportMap=0.047103, SerializeDependencyMap=0.007167, SerializeStringAssetReferenceMap=0.001792, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.275126, SerializeExports=7.565755, SerializeBulkData=203.746063, MoveFile=3.562212, UnaccountedTime=1.932524, RunGuid=RunID7EA571ED425E7A6605129F8E46A7DF2E
SavePackageTransactionId8E96C4B94AFF3150E14C91939006B88A_9, Filename=../../../../../../Users/Matt/Documents/Unreal Projects/Otherworld/Content/ThirdPersonBP/Blueprints/ThirdPersonCharacter.uasset, AutoPackageBackupDelegate=3.773920, FlushAsyncLoading=0.007167, FlushStreamingFunc=0.050686, BlockTillAllRequestsFinished=0.007682, ResetLoadersForSaveUnMarkAllObjects=0.175871, TagPackageExports=11.363484, BeginCacheForCookedPlatformData=0.002816, SerializeImports=12.875665, GatherLocalizableTextData=12.470674, MarkNames=0.110079, SerializeSummary=0.015873, SerializeNames=0.358138, SerializeGatherableTextData=0.161793, BuildExportMap=0.274941, SortExportsNonSeekfree=2.975717, SortExportsSeekfreeConstructor=0.010494, SortExportsSeekfreeInner=31.367920, SortExportsSeekfree=0.007167, BuildDependencyMap=0.131585, SerializeImportMap=0.023294, SerializeExportMap=0.080898, SerializeDependencyMap=0.016641, SerializeStringAssetReferenceMap=0.002049, SaveThumbNailsAssetRegistryDataWorldLevelInfo=10.860703, SerializeExports=18.788189, SerializeBulkData=0.008192, MoveFile=1.995757, UnaccountedTime=1.841135, RunGuid=RunID7EA571ED425E7A6605129F8E46A7DF2E
SavePackageTransactionId8E96C4B94AFF3150E14C91939006B88A_10, Filename=../../../../../../Users/Matt/Documents/Unreal Projects/Otherworld/Content/ThirdPersonBP/Maps/ThirdPersonExampleMap.umap, AutoPackageBackupDelegate=2.156779, FlushAsyncLoading=0.003587, FlushStreamingFunc=0.063486, BlockTillAllRequestsFinished=0.003841, ResetLoadersForSaveUnMarkAllObjects=63.271637, TagPackageExports=1.201656, BeginCacheForCookedPlatformData=0.001535, SerializeImports=2.374124, GatherLocalizableTextData=11.071649, MarkNames=0.069376, SerializeSummary=0.014845, SerializeNames=0.474364, SerializeGatherableTextData=0.026882, BuildExportMap=0.362236, SortExportsNonSeekfree=0.609532, SortExportsSeekfreeConstructor=0.056576, SortExportsSeekfreeInner=30.317814, SortExportsSeekfree=0.006147, BuildDependencyMap=1.476850, SerializeImportMap=0.051711, SerializeExportMap=0.046335, SerializeDependencyMap=0.008706, SerializeStringAssetReferenceMap=0.002559, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.659121, SerializeExports=9.126321, SerializeBulkData=203.245331, MoveFile=4.378077, UnaccountedTime=1.733359, RunGuid=RunID7EA571ED425E7A6605129F8E46A7DF2E
SavePackageTransactionId8E96C4B94AFF3150E14C91939006B88A_11, Filename=../../../../../../Users/Matt/Documents/Unreal Projects/Otherworld/Content/UserInterface/Widgets/QuickSlotFrame.uasset, AutoPackageBackupDelegate=1.753073, FlushAsyncLoading=0.003073, FlushStreamingFunc=0.077054, BlockTillAllRequestsFinished=0.003584, ResetLoadersForSaveUnMarkAllObjects=0.341758, TagPackageExports=0.690170, BeginCacheForCookedPlatformData=0.002306, SerializeImports=1.458675, GatherLocalizableTextData=3.372259, MarkNames=0.023808, SerializeSummary=0.010751, SerializeNames=0.102144, SerializeGatherableTextData=0.127997, BuildExportMap=0.083968, SortExportsNonSeekfree=0.117760, SortExportsSeekfreeConstructor=0.008959, SortExportsSeekfreeInner=2.957031, SortExportsSeekfree=0.002813, BuildDependencyMap=0.023298, SerializeImportMap=0.010498, SerializeExportMap=0.013568, SerializeDependencyMap=0.037376, SerializeStringAssetReferenceMap=0.002306, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.325371, SerializeExports=2.074864, SerializeBulkData=0.003327, MoveFile=1.970671, UnaccountedTime=1.446385, RunGuid=RunID7EA571ED425E7A6605129F8E46A7DF2E
SavePackageTransactionId8E96C4B94AFF3150E14C91939006B88A_12, Filename=../../../../../../Users/Matt/Documents/Unreal Projects/Otherworld/Content/UserInterface/Widgets/PlayerFrame.uasset, AutoPackageBackupDelegate=2.777576, FlushAsyncLoading=0.006143, FlushStreamingFunc=0.068609, BlockTillAllRequestsFinished=0.003841, ResetLoadersForSaveUnMarkAllObjects=0.165630, TagPackageExports=1.066487, BeginCacheForCookedPlatformData=0.001792, SerializeImports=1.540083, GatherLocalizableTextData=4.226267, MarkNames=0.026368, SerializeSummary=0.011008, SerializeNames=0.116479, SerializeGatherableTextData=0.121087, BuildExportMap=0.088319, SortExportsNonSeekfree=0.169214, SortExportsSeekfreeConstructor=0.008706, SortExportsSeekfreeInner=3.449567, SortExportsSeekfree=0.002816, BuildDependencyMap=0.031490, SerializeImportMap=0.010241, SerializeExportMap=0.016641, SerializeDependencyMap=0.003841, SerializeStringAssetReferenceMap=0.001792, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.370685, SerializeExports=2.589416, SerializeBulkData=0.003584, MoveFile=1.857009, UnaccountedTime=1.676016, RunGuid=RunID7EA571ED425E7A6605129F8E46A7DF2E
SavePackageTransactionId8E96C4B94AFF3150E14C91939006B88A_13, Filename=../../../../../../Users/Matt/Documents/Unreal Projects/Otherworld/Content/ThirdPersonBP/Maps/ThirdPersonExampleMap.umap, AutoPackageBackupDelegate=1.935087, FlushAsyncLoading=0.002816, FlushStreamingFunc=0.059135, BlockTillAllRequestsFinished=0.009730, ResetLoadersForSaveUnMarkAllObjects=65.644737, TagPackageExports=1.262326, BeginCacheForCookedPlatformData=0.002049, SerializeImports=2.890471, GatherLocalizableTextData=11.275675, MarkNames=0.079103, SerializeSummary=0.015359, SerializeNames=0.470269, SerializeGatherableTextData=0.027902, BuildExportMap=0.354558, SortExportsNonSeekfree=0.562940, SortExportsSeekfreeConstructor=0.071935, SortExportsSeekfreeInner=30.082811, SortExportsSeekfree=0.006400, BuildDependencyMap=1.385458, SerializeImportMap=0.055041, SerializeExportMap=0.044797, SerializeDependencyMap=0.015102, SerializeStringAssetReferenceMap=0.002816, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.364723, SerializeExports=8.428984, SerializeBulkData=205.191681, MoveFile=3.563233, UnaccountedTime=1.767155, RunGuid=RunID7EA571ED425E7A6605129F8E46A7DF2E
