DDCTransactionIdFA7C3D154588592A115B5584E1358E70_3, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_565E0359430950FA252A118AF8521636_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-23.28.40, Duration=9.560130, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionIdBEE5961640DD81A56BEE10BC9949A717_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_565E0359430950FA252A118AF8521636___018F4075D3397499A38D84DACDCE819C495D7211, StartTime=2016.05.09-23.28.40, HierarchicalDDC=, DataSize=65795, Duration=0.073507, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionId6B1443E74A6233E532A88BAD3406A6FF_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_565E0359430950FA252A118AF8521636___1978717988CE205C32B2214CC1D518693DF7C4D6, StartTime=2016.05.09-23.28.40, HierarchicalDDC=, DataSize=16643, Duration=0.049006, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionId92F65D9F4A039844FAE983B4076CEFAD_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_565E0359430950FA252A118AF8521636___AFD2E7B6C000DBB57C3C2251719C132A8B58702E, StartTime=2016.05.09-23.28.40, HierarchicalDDC=, DataSize=6591, Duration=0.041690, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionIdFA7C3D154588592A115B5584E1358E70_4, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090AF89_07_0000803F0000803F0000803F000000000000803F00000000000000000000803FCDCC4C3F000000000800000006000100000000000102000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.09-23.28.40, Duration=1540.535522, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionId92F65D9F4A039844FAE983B4076CEFAD_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__F781C0B0C2693BF17FB27AC24C523D4AD3350E86, StartTime=2016.05.09-23.28.41, HierarchicalDDC=, DataSize=524553, Duration=0.528824, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionIdBEE5961640DD81A56BEE10BC9949A717_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__EC69846C8DD084F28BBD11A348C2B577D88F8262, StartTime=2016.05.09-23.28.41, HierarchicalDDC=, DataSize=131335, Duration=0.183955, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionIdAB76FB034ABF8B2FE2DC2E8AF68349A9_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__1423AB5FD021F7D2A063652CBFD2D5D24334CF57, StartTime=2016.05.09-23.28.41, HierarchicalDDC=, DataSize=33031, Duration=0.073511, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionId92F65D9F4A039844FAE983B4076CEFAD_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__1AC1C47CE01BB3791E07B3F37B4DEBBD29C103E3, StartTime=2016.05.09-23.28.41, HierarchicalDDC=, DataSize=8455, Duration=0.069484, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
DDCTransactionIdAB76FB034ABF8B2FE2DC2E8AF68349A9_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__DD3D508F2B287118D83B2811676DC879755E7F88, StartTime=2016.05.09-23.28.41, HierarchicalDDC=, DataSize=4452, Duration=0.035111, RunGuid=RunID3DAB385143AAC4D94A2154A7E77F8EE1
